Date : 2020-04-19 15:21:37
Directory : /Users/klx/code/badminton-app/src
Total : 113 files,  2479 codes, 109 comments, 542 blanks, all 3130 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| TypeScript |         75 |      1,789 |         77 |        460 |      2,326 |
| HTML       |         17 |        404 |         28 |         12 |        444 |
| SCSS       |         17 |        143 |          1 |         34 |        178 |
| JSON       |          1 |         72 |          0 |          1 |         73 |
| CSS        |          1 |         42 |          0 |         12 |         54 |
| XML        |          1 |         28 |          3 |         23 |         54 |
| JavaScript |          1 |          1 |          0 |          0 |          1 |
+------------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                               |        113 |      2,479 |        109 |        542 |      3,130 |
| app                                                                                                             |        102 |      2,293 |         35 |        483 |      2,811 |
| app/interceptors                                                                                                |          3 |         41 |          2 |          9 |         52 |
| app/modules                                                                                                     |         93 |      2,158 |         33 |        459 |      2,650 |
| app/modules/common                                                                                              |          2 |         22 |          0 |          4 |         26 |
| app/modules/common/data                                                                                         |          1 |          4 |          0 |          0 |          4 |
| app/modules/login                                                                                               |          8 |        175 |          1 |         36 |        212 |
| app/modules/login/components                                                                                    |          4 |        107 |          0 |         20 |        127 |
| app/modules/login/components/login                                                                              |          4 |        107 |          0 |         20 |        127 |
| app/modules/login/service                                                                                       |          2 |         36 |          1 |          9 |         46 |
| app/modules/main                                                                                                |         75 |      1,764 |         32 |        372 |      2,168 |
| app/modules/main/components                                                                                     |          4 |        147 |          0 |         23 |        170 |
| app/modules/main/components/index                                                                               |          4 |        147 |          0 |         23 |        170 |
| app/modules/main/data                                                                                           |          1 |          6 |          0 |          0 |          6 |
| app/modules/main/home                                                                                           |         12 |        396 |          0 |         68 |        464 |
| app/modules/main/home/components                                                                                |          8 |        326 |          0 |         47 |        373 |
| app/modules/main/home/components/home                                                                           |          4 |        146 |          0 |         28 |        174 |
| app/modules/main/home/components/match-detail                                                                   |          4 |        180 |          0 |         19 |        199 |
| app/modules/main/home/service                                                                                   |          2 |         36 |          0 |         13 |         49 |
| app/modules/main/my                                                                                             |         12 |        255 |          0 |         50 |        305 |
| app/modules/main/my/components                                                                                  |          8 |        195 |          0 |         34 |        229 |
| app/modules/main/my/components/detail                                                                           |          4 |         94 |          0 |         19 |        113 |
| app/modules/main/my/components/history                                                                          |          4 |        101 |          0 |         15 |        116 |
| app/modules/main/my/service                                                                                     |          2 |         26 |          0 |          8 |         34 |
| app/modules/main/referee                                                                                        |         12 |        285 |         23 |         65 |        373 |
| app/modules/main/referee/components                                                                             |          8 |        217 |         23 |         47 |        287 |
| app/modules/main/referee/components/list                                                                        |          4 |         67 |          0 |         15 |         82 |
| app/modules/main/referee/components/referee                                                                     |          4 |        150 |         23 |         32 |        205 |
| app/modules/main/referee/service                                                                                |          2 |         34 |          0 |         10 |         44 |
| app/modules/main/service                                                                                        |          2 |         42 |          0 |         14 |         56 |
| app/modules/main/shope                                                                                          |         10 |        131 |          0 |         37 |        168 |
| app/modules/main/shope/components                                                                               |          8 |        102 |          0 |         29 |        131 |
| app/modules/main/shope/components/list                                                                          |          4 |         51 |          0 |         15 |         66 |
| app/modules/main/shope/components/product-card                                                                  |          4 |         51 |          0 |         14 |         65 |
| app/modules/main/sign                                                                                           |         20 |        452 |          9 |        106 |        567 |
| app/modules/main/sign/components                                                                                |         16 |        364 |          9 |         83 |        456 |
| app/modules/main/sign/components/against                                                                        |          4 |        135 |          0 |         32 |        167 |
| app/modules/main/sign/components/arrange                                                                        |          4 |         51 |          0 |         14 |         65 |
| app/modules/main/sign/components/operate                                                                        |          4 |         90 |          4 |         20 |        114 |
| app/modules/main/sign/components/sign                                                                           |          4 |         88 |          5 |         17 |        110 |
| app/modules/main/sign/service                                                                                   |          2 |         42 |          0 |         15 |         57 |
| app/modules/register                                                                                            |          8 |        197 |          0 |         47 |        244 |
| app/modules/register/components                                                                                 |          4 |        134 |          0 |         31 |        165 |
| app/modules/register/components/register                                                                        |          4 |        134 |          0 |         31 |        165 |
| app/modules/register/service                                                                                    |          2 |         35 |          0 |          8 |         43 |
| assets                                                                                                          |          4 |        143 |          3 |         36 |        182 |
| assets/iconfont                                                                                                 |          4 |        143 |          3 |         36 |        182 |
| environments                                                                                                    |          2 |          7 |         11 |          5 |         23 |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                        | language   | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| /Users/klx/code/badminton-app/src/app/app-routing.module.ts                                                     | TypeScript |         26 |          0 |          4 |         30 |
| /Users/klx/code/badminton-app/src/app/app.component.html                                                        | HTML       |          1 |          0 |          0 |          1 |
| /Users/klx/code/badminton-app/src/app/app.component.scss                                                        | SCSS       |          0 |          0 |          1 |          1 |
| /Users/klx/code/badminton-app/src/app/app.component.spec.ts                                                     | TypeScript |         31 |          0 |          5 |         36 |
| /Users/klx/code/badminton-app/src/app/app.component.ts                                                          | TypeScript |          9 |          0 |          2 |         11 |
| /Users/klx/code/badminton-app/src/app/app.module.ts                                                             | TypeScript |         27 |          0 |          3 |         30 |
| /Users/klx/code/badminton-app/src/app/interceptors/index.ts                                                     | TypeScript |          7 |          0 |          2 |          9 |
| /Users/klx/code/badminton-app/src/app/interceptors/prefixIntercept.ts                                           | TypeScript |         14 |          1 |          3 |         18 |
| /Users/klx/code/badminton-app/src/app/interceptors/tokenIntercept.ts                                            | TypeScript |         20 |          1 |          4 |         25 |
| /Users/klx/code/badminton-app/src/app/modules/common/common.module.ts                                           | TypeScript |         18 |          0 |          4 |         22 |
| /Users/klx/code/badminton-app/src/app/modules/common/data/response.ts                                           | TypeScript |          4 |          0 |          0 |          4 |
| /Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.html                       | HTML       |         24 |          0 |          1 |         25 |
| /Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.scss                       | SCSS       |         29 |          0 |          5 |         34 |
| /Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.spec.ts                    | TypeScript |         20 |          0 |          6 |         26 |
| /Users/klx/code/badminton-app/src/app/modules/login/components/login/login.component.ts                         | TypeScript |         34 |          0 |          8 |         42 |
| /Users/klx/code/badminton-app/src/app/modules/login/login-routing.module.ts                                     | TypeScript |         14 |          0 |          3 |         17 |
| /Users/klx/code/badminton-app/src/app/modules/login/login.module.ts                                             | TypeScript |         18 |          0 |          4 |         22 |
| /Users/klx/code/badminton-app/src/app/modules/login/service/login.service.spec.ts                               | TypeScript |          9 |          0 |          4 |         13 |
| /Users/klx/code/badminton-app/src/app/modules/login/service/login.service.ts                                    | TypeScript |         27 |          1 |          5 |         33 |
| /Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.html                        | HTML       |         71 |          0 |          0 |         71 |
| /Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.scss                        | SCSS       |          6 |          0 |          1 |          7 |
| /Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.spec.ts                     | TypeScript |         20 |          0 |          6 |         26 |
| /Users/klx/code/badminton-app/src/app/modules/main/components/index/index.component.ts                          | TypeScript |         50 |          0 |         16 |         66 |
| /Users/klx/code/badminton-app/src/app/modules/main/data/navigation.enum.ts                                      | TypeScript |          6 |          0 |          0 |          6 |
| /Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.html                     | HTML       |         52 |          0 |          5 |         57 |
| /Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.scss                     | SCSS       |         14 |          0 |          3 |         17 |
| /Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.spec.ts                  | TypeScript |         20 |          0 |          6 |         26 |
| /Users/klx/code/badminton-app/src/app/modules/main/home/components/home/home.component.ts                       | TypeScript |         60 |          0 |         14 |         74 |
| /Users/klx/code/badminton-app/src/app/modules/main/home/components/match-detail/match-detail.component.html     | HTML       |         75 |          0 |          0 |         75 |
| /Users/klx/code/badminton-app/src/app/modules/main/home/components/match-detail/match-detail.component.scss     | SCSS       |          4 |          0 |          0 |          4 |
